step,sending_rate
25,1.0
50,1.0
75,1.0
100,1.0
125,1.0
150,1.0
175,1.0
200,1.0
225,1.0
250,1.0
275,1.0
300,1.0
325,1.0
350,1.0
375,1.0
400,1.0
425,1.0
450,1.0
475,1.0
500,1.0
525,1.0
550,1.0
575,1.0
600,1.0
625,1.0
650,1.0
675,1.0
700,1.0
725,1.0
750,1.0
775,1.0
800,1.0
825,1.0
850,1.0
875,1.0
900,1.0
925,1.0
950,1.0
975,1.0
1000,1.0
1025,1.0
1050,1.0
1075,1.0
1100,1.0
1125,1.0
1150,1.0
1175,1.0
1200,1.0
1225,1.0
1250,1.0
1275,1.0
1300,1.0
1325,1.0
1350,1.0
1375,1.0
1400,1.0
1425,1.0
1450,1.0
1475,1.0
